Name of Plant,Scientific Name,Family,Related Database,Therapeutic Use,Tissue & Part,Preparation Method,NE State Availability,Phytochemical(s),Phytochemical Reference,Literature Reference
Pteris fern,Pteris biaurita,Pteridaceae,NEI_MPDB,Cuts & wounds,Stem,Paste applied topically,Sikkim,Not listed,"Das_T_et_al., African J. Basic & Applied Sci. 4(1):16Ð20, 2012 (neist.res.in)",
Common buttercup?,Ranunculus diffuses,Ranunculaceae,NEI_MPDB,(Not listed),(Not listed),(Not listed),(Not listed),(Not listed),Ñ,
Himalayan goldthread,Coptis teeta,Ranunculaceae,NEI_MPDB,(Not listed),(Not listed),(Not listed),(Not listed),(Not listed),Ñ,
Clematis sp.,Clematis buchananiana,Ranunculaceae,NEI_MPDB,(Not listed),(Not listed),(Not listed),(Not listed),(Not listed),Ñ,
Indian aconite,Aconitum heterophyllum,Ranunculaceae,NEI_MPDB,(Not listed),(Not listed),(Not listed),(Not listed),(Not listed),Ñ,
MonkÕs-hood,Aconitum ferox,Ranunculaceae,NEI_MPDB,(Not listed),(Not listed),(Not listed),(Not listed),(Not listed),Ñ,
Meadow rue,Thalictrum foliolosum,Ranunculaceae,NEI_MPDB,(Not listed),(Not listed),(Not listed),(Not listed),(Not listed),Ñ,
Gochbirina,Rhamnus nepalensis,Rhamnaceae,NEI_MPDB,Pneumonia,Root,Decoction taken orally,Assam,(Not listed),"Purkayatha_J_et_al., Fitoterapia 76:121Ð127 (2005) (neist.res.in)",
Yellow Himalayan raspberry,Rubus ellipticus,Rosaceae,NEI_MPDB,Cough; Cuts & wounds; Dysentery; Fever,Fruit; Root,Taken orally,"Meghalaya, Sikkim",Pentobarbital sodium,Mohanraj_K_et_al. 2018; Kayang_H_et_al. 2005; Das_T_et_al. 2012,
Himalayan wild cherry,Prunus cerasoides,Rosaceae,NEI_MPDB,Malarial fever,Bark,Decoction taken orally,Mizoram,"A broad profile including chalcones (e.g., carasin, carasidin); flavonoids (afzelin, apigenin, quercetin); isoflavones (prunetin); phenolics (emodin); sterols; fatty acids",Joseph_N_et_al. 2018 review; Bora_U_et_al. 2007,
Himalayan cinquefoil,Potentilla fulgens,Rosaceae,NEI_MPDB,Cancer; Diabetes; Stomachache; Toothache,Root,Taken orally,"Meghalaya, Nagaland","Afzelchin-4__8; Epiafzelchin; Epicatechin; Potifulgene, A & B; Rutin",Kaul_K_et_al. 2011; Kayang_H_et_al. 2005; Chase_P.E. & Singh_O.P. 2013,
Indian madder,Rubia cordifolia,Rubiaceae,NEI_MPDB,Ulcer,Leaves (paste),Topical paste,Meghalaya,"1,2,4-trihydroxy-9,10-anthraquinone; alizarin; daucosterol; rubimallin; _-sitosterol",Meena_A_K_et_al._2010; Kayang_H et al. 2005 (neist.res.in),
Red madder,Rubia manjith,Rubiaceae,NEI_MPDB,Cough/Cold; Headache,"Root, fruit, leaves",Taken orally,Arunachal Pradesh,Alizarin,Perme_N_et_al._2015,
Creeper jasmine,Hedyotis scandens,Rubiaceae,NEI_MPDB,Cough/Cold; Gastritis,Leaves (decoction),Decoction orally,Meghalaya,(not listed),Kayang_H_et_al._2005,
Hedyotis auriculata,Hedyotis auriculata,Rubiaceae,NEI_MPDB,Cough; Dysentery,Leaves (extract),Taken orally,Manipur,Asperuloside; auricularine; borreverine; deacetylasperuloside; oleanolic acid; ursolic acid; etc.,Lajis_N_H_J_et_al._2006,
Garden ixora,Ixora acuminata,Rubiaceae,NEI_MPDB,Jaundice,Leaves,Taken orally,Assam,Anthocyanins; kaempferol glycosides; leucocyanidin; lupeol; oleanolic acid; proanthocyanidin; quercetin; rutin; sitosterol; ursolic acid,Dontha_S_et_al._2015,
Mussaenda,Mussaenda roxburghii,Rubiaceae,NEI_MPDB,Cough; Gastritis; Urinary disorders; Gastritis; Mushroom poisoning; Tongue blemishes,Leaves; whole plant,Taken orally,"Arunachal Pr., Manipur","2_,3_,19_,23-tetrahydroxyurs-12-en-28-oic acid; ferulic acid; hyperin; iridoids; lupeol palmitate; mussaein; mussaenoside; myoinositol; quercetin; rutin; shanzhiol; _-sitosterol glucoside",Ghosh_R_et_al._2017; Meetei_S_Y_&_Singh_P_K_2007,
Bone healer,Anotis foetida,Rubiaceae,NEI_MPDB,Bone fracture,Root (paste),Topical paste,Manipur,(none listed),Meetei_S_Y_&_Singh_P_K_2007,
Dysentery plant,Wendlandia paniculata,Rubiaceae,NEI_MPDB,Dysentery,Inflorescence,Taken orally,Manipur,(none listed),Rajkumari_R_et_al._2013,
Spiny medlar,Mycetia longifolia,Rubiaceae,NEI_MPDB,Inflammation; Ulcer; Wounds,Leaves (paste),Topical paste,Arunachal Pradesh,Alkaloids; flavonoids; glycosides; polyphenols; tannins,Perme_N_et_al._2015,
Cinchona tree,Cinchona officinalis,Rubiaceae,NEI_MPDB,Malarial fever,Bark,Taken orally,Assam; Sikkim,Quinine; cinchonine; cinchonidine; cinchonamine; quindoline alkaloids; tannins,NEI_MPDB entry,
Pavetta,Pavetta indica,Rubiaceae,NEI_MPDB,(data not specified),(not specified),(not specified),(not specified),(not listed),NEI_MPDB entry,
Paederia,Paederia foetida,Rubiaceae,NEI_MPDB,(data not specified),(not specified),(not specified),(not specified),(not listed),NEI_MPDB entry,
Mussaenda spp.,Mussaenda spp.,Rubiaceae,NEI_MPDB,(data not specified),(not specified),(not specified),(not specified),(not listed),NEI_MPDB entry,
Meyna,Meyna spinosa,Rubiaceae,NEI_MPDB,(data not specified),(not specified),(not specified),(not specified),(not listed),NEI_MPDB entry,
Lasianthus wallichii,Lasianthus wallichii,Rubiaceae,NEI_MPDB,(data not specified),(not specified),(not specified),(not specified),(not listed),NEI_MPDB entry,
Lasianthus hirsutus,Lasianthus hirsutus,Rubiaceae,NEI_MPDB,(data not specified),(not specified),(not specified),(not specified),(not listed),NEI_MPDB entry,
Hymenodictyon,Hymenodictyon excelsum,Rubiaceae,NEI_MPDB,(data not specified),(not specified),(not specified),(not specified),(not listed),NEI_MPDB entry,
Anthocephalus chinensis,Anthocephalus chinensis,Rubiaceae,NEI_MPDB,(data not specified),(not specified),(not specified),(not specified),(not listed),NEI_MPDB entry,
Tarenna odorata,Tarenna odorata,Rubiaceae,NEI_MPDB,(data not specified),(not specified),(not specified),(not specified),(not listed),NEI_MPDB entry,
Khasi neem,Clausena excavata,Rutaceae,NEI_MPDB,Malarial fever,Leaves,Taken orally,"Arunachal Pr, Assam, Manipur, Meghalaya, Mizoram, Nagaland neist.res.in+5neist.res.in+5neist.res.in+5neist.res.in+3neist.res.in+3researchgate.net+3","Carbazole alkaloids (Clausemine_A, Excavacoumarin_BÉ)",Arbab_et_al._2011,
Pomelo hybrid citrus,Citrus latipes,Rutaceae,NEI_MPDB,"Rheumatism, ringworm, skin diseases","Fruit, Leaves",Extract applied topically,Meghalaya,"Citrusins AÐIV, Citrusinines",USDA Dr. Dukes,
Citron,Citrus medica,Rutaceae,NEI_MPDB,Gastritis; Hypertension; Malarial fever,Fruit,Decoction taken orally,"Arunachal Pr, Assam","1,8_Cineole; Limonene; Neral; Nomiline; etc.",Perme_N_et_al._2015; Bora_U_et_al._2007,
Mandarin orange,Citrus reticulata,Rutaceae,NEI_MPDB,Helminthiasis,Fruit,Decoction taken orally,Arunachal Pradesh,__Citraurin; Hesperidin; Naringin; Lycopene; etc.,Vikram_A_et_al._2015,
Wild citron,Citrus indica,Rutaceae,NEI_MPDB,Stomachache,Fruit,Taken orally,Sikkim,Ñ,Das_T_et_al._2012,
Bael,Aegle marmelos,Rutaceae,NEI_MPDB,Cough; Dysentery; Gastritis,Fruit; Leaves,Taken orally,Assam; Nagaland; Tripura,Coumarins; Aegeline; Caryophyllene; Citral; Tannins; etc.,Shrinath_B_et_al._2013,
Sikkim pepper tree,Zanthoxylum acanthopodium,Rutaceae,NEI_MPDB,Cholera; Dyspepsia; Stomachache,Whole plant; Fruit; Seed,Taken orally,Meghalaya; Sikkim,Alkaloids; Lignans; Protoberberines; etc.,Patio_L_et_al._2012,
Winged prickly ash,Zanthoxylum allatum,Rutaceae,NEI_MPDB,Food poisoning,Fruit,Taken orally,Sikkim,Same alkaloid/lignan profile as Z. acanthopodium,Patio_L_et_al._2012,
Himalayan prickly ash,Zanthoxylum hamiltonianum,Rutaceae,NEI_MPDB,Malarial fever,Root; Bark,Decoction taken orally,Arunachal Pradesh,Avicennin; Chelerythrine; Flindersine; Hesperidin; Zanthoamide A; Sesamin; etc.,Patio_L_et_al._2012 _turn0search6_,
Listed without data,Murraya paniculata,Rutaceae,NEI_MPDB,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,
Zanthoxylum armatum,Rutaceae,NEI_MPDB,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,,
Ñ,Zanthoxylum hamiltonii,Rutaceae,NEI_MPDB,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,
Ñ,Zanthoxylum rhetsa,Rutaceae,NEI_MPDB,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,
Water apple,Flacourtia jangomas,Salicaceae,NEI_MPDB,Rheumatism,"Seed, Thorns",Paste applied topically,Tripura,Calcium; Iron; Jangomolide; L-ascorbic acid; Limonin; Magnesium; Ostruthin; Potassium; Phosphorus,Debbarma_M_et_al. 2017; Mohanraj_K_et_al. 2018,
White Sandalwood,Santalum album,Santalaceae,NEI_MPDB,Headache,Wood (heartwood),Paste applied topically,Tripura,(+)-epi-beta-Santalol; (10E)-beta-Santalic acid; (E)-_-Santalic acid; (E)-_-Farnesene; _-Santalol; _-Santalal; Beta-Curcumene; Epi-beta-Santalene; Teresantalol; Teresantalic acid; 1-Octacosanol; 1-Triacontanol; Ximenynic acid; Betulic acid; Oleic acid; Palmitic acid; Phytosterols; plus various volatiles and sugars,"Mohanraj_K_et_al., IMPPAT & Scientific Reports 2018; Kabir_et_al. 2014 survey",
Soapnut,Sapindus mukorossi,Sapindaceae,NEI_MPDB,Burns; Foot & toe infection,Fruit,Paste applied topically,"Nagaland, Sikkim",Apigenin; Hederagenin; Kaempferol; Quercetin; Sapindoside B; Saponin A; Saponin C; Vitamin P; alpha_Hederin,Kichu_M_et_al. 2015; Das_T_et_al. 2012; Mohanraj_K_et_al. IMPPAT 2018 (neist.res.in),
Aesandra,Aesandra butyraceae,Sapotaceae,NEI_MPDB,Rheumatism,Fruit,Extract applied topically,Sikkim,(Not listed),Das_T_et_al. 2012,
Houttuynia,Houttuynia cordata,Saururaceae,NEI_MPDB,Bodyache; Boils; Cuts & wounds; Flatulence; Hypertension; Stomach ulcer; Urinary disorder,Root (decoction); Stem (extract); Leaves (paste),Oral and topical,"Arunachal Pradesh, Manipur, Meghalaya, Nagaland",Bornyl Acetate; esters; Houttuynoside A1 & A2; Kaempferol; Lauraldehyde; Nonanol; Quercetin; Quercitrin,Kayang_H_et_al. 2005; Meetei_S_Y_&_Singh_P_K_2007; Tangjanga_S_et_al. 2011; Chase_P_E_&_Singh_O_P_2013; Perme_N_et_al. 2015,
River starweed,Astilbe rivularis,Saxifragaceae,NEI_MPDB,"Diarrhoea, Dysentery","Rhizome, Root, Leaves",Taken orally,Sikkim,(Not listed),Das_T_et_al. 2012 (neist.res.in),
Dryland saxifrage,Bergenia ciliata,Saxifragaceae,NEI_MPDB,"Boils, Diarrhoea, Dysentery, Fever, Vomiting","Rhizome, Root","Oral extract, decoction","Nagaland, Sikkim",(+)-Catechin-3-gallate; (_)-afzelechin; gallic acid; phytosterols; tannins; etc.,Chase_P_E & Singh_O_P 2013; Mohanraj_K_et_al. 2018,
Split-gill fungus,Schyzophyllum commune,Schyzophyllaceae,NEI_MPDB,(No therapeutic data),Ñ,Ñ,Ñ,Ñ,(No entry),
Bonnaya (Water hyssop),Bonnaya brachiata,Scrophulariaceae,NEI_MPDB,Urinary disorders,Whole plant,Oral extract,Manipur,(Not listed),Meetei & Singh 2007 (neist.res.in),
Lindernia,Lindernia ruelloides,Scrophulariaceae,NEI_MPDB,"Rheumatism, sciatica, skin diseases, wounds",Whole plant,Paste applied topically,Meghalaya,(Not listed),Rai & Lalramnghinglova_2010,
Goatweed,Scoparia dulcis,Scrophulariaceae,NEI_MPDB,"Bodyache, cavity formation, diabetes, diuretic, inflammation, jaundice",Whole plant; Leaves,Oral extract of plant/leaves,"Arunachal Pradesh, Assam, Tripura",Dulcitol; Mannitol; Scopadubic acid; Scopadulciol; Scopadulin; Scoparic acid; Triterpenes,Perme_N_et_al._2015; Sajem & Gosai_2006; Kabir_et_al. 2014; Wankhar_W_et_al._2015,
,picrorhiza kurrooa,,,,,,,,,
Javanica bitterwood,Picrasma javanica,Simaroubaceae,NEI_MPDB,Malarial fever,Bark,Decoction taken orally,Mizoram,"4_methoxy_1_vinyl___carboline; 5_hydroxycrenatine; 5_hydroxydehydrocrenatine; 6_hydroxy_4_methoxy_1_vinyl___carboline; dihydrojavanicin Z; hispidol A; javacarboline; javanicin (B, N, T, etc.); javanicinosides AÐM; picrajavanins AÐM; picrasin A; lanosta-7,24-dien-3-one; neoquassin; nigakilactones B & F",Bora_U_et_al._2007; Taher_M_et_al._2019 (neist.res.in),
Giant greenbrier,Smilax ocreata,Smilacaceae,NEI_MPDB,Heart disorders,Rhizome,Decoction taken orally,Assam,(Not listed),Purkayatha_J_et_al._2005,
Glabrous greenbrier,Smilax glabra,Smilacaceae,NEI_MPDB,Skin diseases,Leaves,Extract applied topically,Meghalaya,(+)-catechin; (+)-scytalone; (_)-epicatechin; (_)-secoisolariciresinol; taxifolin-3'-O-_-D-glucopyranoside; N-methylholarrhimine; various glucosides; daucosterol; ferulic acid; luteolin; myricetin; naringenin; quercetin; resveratrol; piceatannol; syringaresinol glycoside; many others,Kayang_H_et_al._2005,
Large greenbrier,Smilax macrophylla,Smilacaceae,NEI_MPDB,Hand and leg tremor,Stem,Paste taken orally,Tripura,"Smilax_Saponin A, B, C",Kabir_et_al._2014; USDA Dr. Dukes,
Indian gooseberry,Physalis minima,Solanaceae,NEI_MPDB,"Gastritis, Hypertension, Indigestion, Inflammation",Fruit; Whole plant,Oral decoction/extract,Arunachal Pradesh; Sikkim,Astragalin; Daucosterol; Isophysalin B; Pectin; Phenylbutazone; Physalin B/F/H; phytosterols; tannins; withaminin,Perme_N_et_al._2015; Das_T_et_al._2012; Mohanraj_K_et_al._2018 (neist.res.in),
Solanum indicum,Solanum indicum,Solanaceae,NEI_MPDB,"Diabetes, Diarrhoea, Dysentery, Gastritis, Hypertension","Fruit, Flower, Leaves",Oral decoction/extract,Arunachal Pradesh; Assam; Nagaland; Tripura,Limonene; Linalyl butanoate; Paracymene; Phytol; _-Bisabolol acetate; _-Damascenone,Tangjanga_S_et_al._2011; Sajem_&_Gosai_2006; Chase_P.E._&_Singh_O.P._2013; Kaunda_J_&_Zhang_Y_2019,
Solanum nigrum,Solanum nigrum,Solanaceae,NEI_MPDB,"Diarrhoea, Fever, Stomachache, Vomiting","Fruit, Leaves, Shoot",Oral intake,Arunachal Pradesh; Manipur; Nagaland,Medioresinol; Pinoresinol; Scopoletin; Syringaresinol; Tetracosanoic acid; _-Sitosterol,Rajkumari_R_et_al._2013; Perme_N_et_al._2015; Kaunda_J_&_Zhang_Y_2019,
Solanum myriacanthum,Solanum myriacanthum,Solanaceae,NEI_MPDB,Toothache,"Root, Fruit",Topical decoction/paste,Arunachal Pradesh; Manipur,"10,16-DHPA; 16-hydroxypalmitic acid; epoxy-octadecanoic acids; pHCA; ferulic acid; lauric; myristic; palmitic acids etc.",Perme_N_et_al._2015; Rajkumari_R_et_al._2013; Gmez_Patio_et_al._2020,
Solanum kurzii,Solanum kurzii,Solanaceae,NEI_MPDB,"Kidney disorder, Toothache",Fruit,Oral extract,Arunachal Pradesh,Flavonoid content; Phenolic content,Perme_N_et_al._2015,
Solanum anguivi,Solanum anguivi,Solanaceae,NEI_MPDB,"Cough/Cold, Fever",Fruit,Oral extract,Manipur,"Anguivine; Anguiviosides AÐC, III, XI, XV, XVI; Caffeic, Chlorogenic, Gallic acids; Quercetin; Rutin; Solamargine; _-Sitosterol",Rajkumari_R_et_al._2013; Kaunda_J_&_Zhang_Y_2019,
Solanum spirale,Solanum spirale,Solanaceae,NEI_MPDB,"Helminthiasis, Jaundice","Root, Fruit, Leaves",Oral decoction/extract,Arunachal Pradesh; Nagaland,Glucosyl-furostene diol; Deacetylveralosine; Etioline; Gallic; Protocatechuic; Trans-cinnamic; Lupeol; Rutin; Protodioscin; others,Tangjanga_S_et_al._2011; Chase_P.E. & Singh_O.P._2013; Kaunda_J_&_Zhang_Y_2019,
Solanum torvum,Solanum torvum,Solanaceae,NEI_MPDB,Diabetes; Malarial fever,"Root, Fruit",Oral extract,Arunachal Pradesh; Assam; Manipur,Spirostan glycosides; Allopregnanolone; Aurantiamide acetate; Daucosterol; Diosgenone; Eicosanoic acid; Kaempferol; Oleanolic; Quinovosides etc.,Rajkumari_R_et_al._2013; Bora_U_et_al._2007; Kaunda_J_&_Zhang_Y_2019,
Physalis micrantha,Physalis micrantha,Solanaceae,NEI_MPDB,Ñ,Ñ,Ñ,Listed but no entry in database,Ñ,Ñ,
Nicotiana plumbaginifolia,Nicotiana plumbaginifolia,Solanaceae,NEI_MPDB,"Skin diseases (veterinary); analgesic, anxiolytic",Leaves,Juice applied; oral,"Listed, no NE data",Ñ,Ñ,
Nicotiana tabacum,Nicotiana tabacum,Solanaceae,NEI_MPDB,"Listed, no data",Ñ,Ñ,Ñ,Ñ,Ñ,
Datura metel,Datura metel,Solanaceae,NEI_MPDB,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,
Cyphomandra betacea,Cyphomandra betacea,Solanaceae,NEI_MPDB,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,
Capsicum spp.,Capsicum spp.,Solanaceae,NEI_MPDB,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,
Capsicum frutescens,Capsicum frutescens,Solanaceae,NEI_MPDB,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,
Solanum khasianum,Solanum khasianum,Solanaceae,NEI_MPDB,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,
European yew,Taxus baccata,Taxaceae,NEI_MPDB,Tumors,Leaves,Paste applied topically,"Meghalaya, Sikkim",Baccatin; Flavonoids; Lignans; Paclitaxel; Steroids; Taxusin,Kayang_H_et_al._2005; Das_T_et_al._2012; Asif_M_et_al._2016 (neist.res.in),
Poh-pan (Mizoram),Tetrameles nudiflora,Tetramelaceae,NEI_MPDB,"Octorea [? likely ""otteria""] symptoms","Bark, Leaves",Extract applied topically,Mizoram,(None listed),Rai_P_K & Lalramnghinglova_2010,
Tea plant,Camellia sinensis,Theaceae,NEI_MPDB,Abdominal pain,Leaves,Boiled and applied topically,Arunachal Pradesh,Caffeine; Vanillic acid; Hydroxycaffeic acid; L-threonate; N-acetyl_valine; Spinacetin 3_glucoside,Tangjanga_S_et_al._2011; Xiao_X_et_al._2020,
Mountain chilaun tree,Schima wallichii,Theaceae,NEI_MPDB,Flatulence,Leaves,Extract taken orally,Meghalaya,1_Octacosanol; Bis(acetic acid); Phytol; Tannins; AC1LAVB6,Kayang_H_et_al._2005; Mohanraj_K_et_al._2018,
Velvet fern,Amphineuron opulentum,Thelypteridaceae,NEI_MPDB,Bodyache,Leaves,Paste applied topically,Arunachal Pradesh,(not listed),"Tangjanga_S_et_al., J. Ethnopharmacol. 2011 (neist.res.in)",
Gout fern,Cyclosorus parasiticus,Thelypteridaceae,NEI_MPDB,"Gout, Rheumatism","Rhizome, Leaves",Extract taken orally,Arunachal Pradesh,"Alkaloids; chalcone derivatives (""parasiticins""); flavonoids; saponins; tannins; terpenoids","Perme_N_et_al., Int. J. Phytopharmacy 2015",
Kangtey,Daphne cannabina,Thymelaeaceae,NEI_MPDB,Fever,Root,Decoction taken orally,Sikkim,(not listed),"Das_T_et_al., Afr. J. Basic & Appl. Sci. 2012",
Garden nasturtium,Tropaeolum majus,Tropaeolaceae,NEI_MPDB,Boils; Tuberculosis,Leaves,Paste applied topically,Nagaland,Benzyl glucosinolate; hydrogen oxalate; vitamin C; spilanthol,"Mohanraj_K_et_al., IMPPAT 2018; Chase_&_Singh 2013",
Ñ,Celtis orientalis,Ulmaceae,NEI_MPDB,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,
Hing,Ferula narther,Umbelliferae,NEI_MPDB,"Asthma, Cough, Epilepsy, Hysteria",Gum,Taken orally,Sikkim,Ñ (gum only),Das_T_et_al. 2012 (neist.res.in),
Coriander,Coriandrum sativum,Umbelliferae,NEI_MPDB,Stomachache,Fruit (dried powder),Taken orally,Assam,"Apigenin; Arbutin; Caffeic acid; Coumarin; Ferulic acid; Luteolin; Linolenic, Linoleic, Oleic acids; Quercetin; Rutin; Salicylic acid; Umbelliferone; etc.",Wei et_al. 2019,
Fennel,Foeniculum vulgare,Umbelliferae,NEI_MPDB,Menstrual disorder,Seed,Taken orally,Sikkim,Linalool; _-Phellandrene; Abscisic acid; Camphene; 3-O-caffeoylquinic acid; Astragalin; Beta-caryophyllene; Eugenol; Limonene; Spilanthol; Phytosterols; etc.,Mohanraj_K_et_al. 2018,
Gotu kola,Centella asiatica,Umbelliferae,NEI_MPDB,Abdominal pain; Cuts & wounds; Gastritis; Headache; Indigestion; Kidney disorder; Skin disease; Stomachache,Whole plant; Aerial parts; Leaves (paste),Oral & topical use,"All 8 NE states (Arunachal Pradesh, Assam, É Tripura)",Asiaticoside; Asiatic acid; Brahmoside; Brahmic acid; Pentacyclic triterpenoids,,
Hypertension plant,Pimpinella hastata,Umbelliferae,NEI_MPDB,Hypertension; Stomachache,Whole plant,Extract taken orally,Manipur,(Not listed),Rajkumari_R_et_al._2013,
Phelovia,Urtica ardens,Urticaceae,NEI_MPDB,Constipation,Leaves; Root,Decoction orally; paste topical,Nagaland,"Arabinogalactan RP-5; Rhamnogalacturan RP-3, RP-4; terpene-diols 1Ð3",Chase & Singh 2013; USDA Dr._Dukes (neist.res.in),
Sisnoo,Urtica dioica,Urticaceae,NEI_MPDB,(None listed),Leaves,Ñ,Sikkim,"(+)-Neoolivil; 14-Octacosanol; 2-Coumarinate; 3,4-divanillyltetrahydrofuran; 3-O-caffeoyl-D_quinic acid; serotonin; acetylcholine; betaine; quercetin; ursolic acid; etc.",NEI_MPDB entry,
Ñ,Urtica magellanica,Urticaceae,NEI_MPDB,(None listed),Ñ,Ñ,(None listed),Daucosterol; geranyl acetone; kaempferol; luteolin; rutin; ursolic acid; etc.,NEI_MPDB entry,
Thaktha,Urtica parviflora,Urticaceae,NEI_MPDB,Stomachache,Root,Extract orally,Manipur,Acetylcholine; histamine; serotonin; tryptophan; tyrosine; _-tocopherol,NEI_MPDB entry,
Lajon turi,Pouzolzia zeylanica,Urticaceae,NEI_MPDB,Skin diseases,Leaves,Paste topically,Tripura,(Not listed),Kabir et_al. 2014,
